firstname,lastname,birthDate,height,weight,bats,throws,yearID,age,lgID,teamID,POS,G,PA,AB,R,H,X1B,X2B,X3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GIDP,mergeon,switch
andy,abad,19720825,185,82,L,L,2000,28,Pacific League,Buffaloes,OF,32,102,92,7,15,10,1,0,4,28,13,0,0,0,1,9,0,0,17,1,abad 19720825,0
andy,abad,19720825,185,83,L,L,2001,29,AL,OAK,1B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abad 19720825,1
andy,abad,19720825,185,83,L,L,2003,31,AL,BOS,1B,9,19,17,1,2,2,0,0,0,2,0,0,1,0,0,2,0,0,5,1,abad 19720825,-1
andy,abad,19720825,185,83,L,L,2006,34,NL,CIN,OF,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,abad 19720825,-1
jerry,adair,19361217,183,79,R,R,1958,21,AL,BAL,SS,11,20,19,1,2,2,0,0,0,2,0,0,0,0,0,1,0,0,7,0,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1959,22,AL,BAL,2B,12,36,35,3,11,10,0,1,0,13,2,0,0,0,0,1,0,0,5,0,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1960,23,AL,BAL,2B,3,5,5,1,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1961,24,AL,BAL,2B,133,428,386,41,102,71,21,1,9,152,37,5,2,1,4,35,4,2,51,6,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1962,25,AL,BAL,SS,139,574,538,67,153,109,29,4,11,223,48,7,7,4,3,27,1,2,77,15,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1963,26,AL,BAL,2B,109,401,382,34,87,57,21,3,6,132,30,3,3,3,5,9,2,2,51,17,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1964,27,AL,BAL,2B,155,605,569,56,141,109,20,3,9,194,47,3,2,4,3,28,10,1,72,20,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1965,28,AL,BAL,2B,157,625,582,51,151,115,26,3,7,204,66,6,4,4,2,35,7,2,65,26,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1966,29,AL,BAL,2B,17,58,52,3,15,14,1,0,0,16,3,0,0,1,1,4,0,0,8,1,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1966,29,AL,CHA,SS,105,402,370,27,90,66,18,2,4,124,36,3,2,9,5,17,0,1,44,14,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1967,30,AL,CHA,2B,28,106,98,6,20,16,4,0,0,24,9,0,1,2,1,4,0,1,17,5,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1967,30,AL,BOS,3B,89,337,316,41,92,75,13,1,3,116,26,1,4,4,2,13,0,2,35,10,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1968,31,AL,BOS,SS,74,224,208,18,45,42,1,0,2,52,12,0,0,6,0,9,2,1,28,10,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1969,32,AL,KCA,2B,126,461,432,29,108,93,9,1,5,134,48,1,3,2,4,20,4,3,36,24,adair 19361217,0
jerry,adair,19361217,183,79,R,R,1970,33,AL,KCA,2B,7,33,27,0,4,4,0,0,0,4,1,0,1,1,0,5,1,0,3,1,adair 19361217,0
jerry,adair,19361217,183,83,R,R,1971,35,Pacific League,Braves,IF,90,249,240,26,72,56,8,1,7,103,36,0,0,2,1,4,0,2,11,13,adair 19361217,1
jim,adduci,19590809,196,90,L,L,1983,24,NL,SLN,1B,10,21,20,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,6,0,adduci 19590809,0
jim,adduci,19590809,196,90,L,L,1986,27,AL,ML4,1B,3,13,11,2,1,0,1,0,0,2,0,0,0,1,0,1,0,0,2,0,adduci 19590809,0
jim,adduci,19590809,193,90,L,L,1987,28,Central League,Whales,OF,82,309,280,35,75,40,19,3,13,139,48,1,1,1,1,26,2,1,73,2,adduci 19590809,1
jim,adduci,19590809,196,90,L,L,1988,29,AL,ML4,LF,44,97,94,8,25,17,6,1,1,36,15,0,1,0,3,0,0,0,15,1,adduci 19590809,-1
jim,adduci,19590809,196,90,L,L,1989,30,NL,PHI,1B,13,19,19,1,7,6,1,0,0,8,0,0,0,0,0,0,0,0,4,0,adduci 19590809,-1
benny,agbayani,19711228,183,102,R,R,1998,26,NL,NYN,RF,11,16,15,1,2,2,0,0,0,2,0,0,2,0,0,1,0,0,5,1,agbayani 19711228,0
benny,agbayani,19711228,183,102,R,R,1999,27,NL,NYN,RF,101,314,276,42,79,44,18,3,14,145,42,6,4,0,3,32,4,3,60,8,agbayani 19711228,0
benny,agbayani,19711228,183,102,R,R,2000,28,NL,NYN,LF,119,414,350,59,101,66,19,1,15,167,60,5,5,0,3,54,2,7,68,6,agbayani 19711228,0
benny,agbayani,19711228,183,102,R,R,2001,29,NL,NYN,LF,91,339,296,28,82,60,14,2,6,118,27,4,5,1,1,36,0,5,73,11,agbayani 19711228,0
benny,agbayani,19711228,183,102,R,R,2002,30,AL,BOS,LF,13,43,37,5,11,10,1,0,0,12,8,0,0,0,0,6,1,0,5,1,agbayani 19711228,0
benny,agbayani,19711228,183,102,R,R,2002,30,NL,COL,LF,48,128,117,10,24,15,5,0,4,41,19,1,0,0,1,10,0,0,35,4,agbayani 19711228,0
benny,agbayani,19711228,183,100,R,R,2004,33,Pacific League,Marines,CF,130,552,457,89,144,77,31,1,35,282,100,8,1,0,4,86,12,5,77,10,agbayani 19711228,1
benny,agbayani,19711228,183,100,R,R,2005,34,Pacific League,Marines,CF,98,389,351,49,95,60,22,0,13,156,71,1,1,0,3,34,0,1,51,15,agbayani 19711228,-1
benny,agbayani,19711228,183,100,R,R,2006,35,Pacific League,Marines,DH,118,473,417,59,117,81,18,1,17,188,65,4,3,0,4,49,0,3,72,17,agbayani 19711228,-1
benny,agbayani,19711228,183,100,R,R,2007,36,Pacific League,Marines,LF,122,454,390,45,106,72,21,0,13,166,51,7,4,0,3,53,1,8,86,12,agbayani 19711228,-1
